airline,airline_code,year,month,total_flights,delayed_flights,avg_delay_mins,avg_arr_delay,carrier_delay,weather_delay,nas_delay,late_ac_delay,delay_rate
Republic Airline,YX,2019,4,2708,466,9.01,5.151403249630723,3.204579025110783,0.6923929098966026,4.449778434268833,5.2743722304283605,0.17208271787296897
Republic Airline,YX,2019,5,2807,439,9.24,5.543997149982188,2.460634128963306,1.2500890630566441,5.68186676166726,4.772711079444247,0.15639472746704666
Republic Airline,YX,2019,6,2748,582,15.17,12.68486171761281,4.203784570596798,1.0655021834061136,7.277292576419214,7.327510917030568,0.21179039301310043
Republic Airline,YX,2019,7,2712,436,9.59,6.217182890855457,3.4491150442477876,1.5309734513274336,4.964601769911504,4.827433628318584,0.1607669616519174
Republic Airline,YX,2019,8,2849,574,12.07,9.366444366444366,3.1217971217971217,0.508950508950509,6.6072306072306075,7.168129168129168,0.20147420147420148
Republic Airline,YX,2019,9,2808,316,2.71,-2.28988603988604,1.586894586894587,0.2482193732193732,3.480769230769231,2.882122507122507,0.11253561253561253
Republic Airline,YX,2019,10,2967,461,6.18,2.3367037411526796,1.8004718570947085,0.224469160768453,4.726322885069093,4.384563532187395,0.1553758004718571
Republic Airline,YX,2019,11,2759,317,2.89,-2.5512866980790143,1.6679956505980427,0.4215295396882929,3.226893802102211,2.558898151504168,0.11489670170351576
Republic Airline,YX,2019,12,2874,541,10.66,6.592205984690327,2.4457202505219207,0.4693806541405706,6.041057759220599,6.251565762004176,0.18823938761308281
Republic Airline,YX,2022,1,2531,457,8.11,4.685894903200316,4.743579612801264,0.40142236270248915,3.6230738838403793,4.959304622678783,0.18056104306598184
Republic Airline,YX,2022,2,2328,417,9.39,5.548539518900344,3.9768041237113403,0.33591065292096217,5.039089347079038,5.663659793814433,0.1791237113402062
Republic Airline,YX,2022,3,2972,519,9.85,6.952557200538358,4.837146702557201,0.5501345895020189,4.425302826379542,5.1258411843876175,0.1746298788694482
Republic Airline,YX,2022,4,3013,507,7.59,3.763690673747096,3.7663458347162297,0.23464985064719548,2.9392631928310653,4.793893129770993,0.16827082641885163
Republic Airline,YX,2022,5,2947,705,15.13,11.878520529351883,5.869358669833729,0.8042076688157448,4.334238208347472,8.574821852731592,0.23922633186291142
Republic Airline,YX,2022,6,2573,516,13.21,9.972794403420131,5.870579090555771,0.8445394481150408,4.593082005441119,6.500194325689856,0.20054411193159735
Republic Airline,YX,2022,7,2587,466,11.09,7.287978353304987,4.198299188248937,1.117510630073444,4.266718206416699,6.579049091611906,0.18013142636258214
Republic Airline,YX,2022,8,2481,439,9.12,5.1451027811366385,4.453849254332931,1.5328496573962112,4.020959290608626,4.091495364772269,0.1769447803305119
